no,w1,w2,w3,industry,scale,q1,q1b_1,q1b_2,q1b_3,q1b_4,q1b_5,q1b_6,q1b_7,q1b_8,q1b_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2b,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bb_5,q2bb_6,q2bb_7,q2bb_8,q2bb_9,q2bb_10,q3,q3a,q4,q4b_1,q4b_2,q4b_3,q4b_4,q4b_5,q4b_6,q4b_7,q4b_8,q4b_9,q4b_10,q5,q5a,q5b,q5c_1,q5c_2,q5c_3,q5c_4,q5c_5,q5c_6,q5c_7,q5c_8,q5c_9,q5d,q5e_1,q5e_2,q5e_3,q5e_4,q5e_5,q5e_6,q5e_7,q5e_8,q5e_9,q6,q6a_2,q6a_3,q6a_4,q6a_5,q6b,q6q6b,q7a,q7b,q7b_1,q7b_2,q7c,q7c_1,q7c_2,q7c_3,q8a0,q8a,q8b0,q8b,q8c0,q8c,q9,q9a2,q9a3,q10,q11,q11a1,q11b1,q11a2,q11b2,q11a3,q11b3,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q13,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q16,q16a,q16b_1,q16b_2,q16b_3,q16b_4,q16b_5,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17a_6,q17a_7,q17a_8,q17a_9,q18a,q18b,q18c,q18d,q18e,q18f,q19,q19a,q20_1,q20_2,q20_3,q21,q21a_1,q21a_2,q21a_3,q21a_4,q21a_5,q21a_6,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q23,q23a,q23b,q23c,q23ca,q23caa,q23cb,q24,q24a_1,q24a_2,q24a_3,q24a_4,q24a_5,q24a_6,q24a_7,q24a_8,q24a_9,q24a_10
BC14879,9.73873873873874,10.4987593052109,31.4962779156327,3,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,1,0,0,0,0,3,3,0,0,0,9,12,9,168,168,0,24000,24000,0,0,2, ,1,3,2, ,1, , ,1,1,2,2100, , , , ,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,1,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14880,9.73873873873874,10.4987593052109,20.9975186104218,3,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,1,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,2,2,0,0,0,11,13,9,170.5,168,2.5,24352,24000,352,0,2, ,1,5,2, ,1, , ,1,1,1, , , , , ,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2, ,0,0,1,2,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14881,9.73873873873874,10.4987593052109,31.4962779156327,3,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,13,9,168,168,0,24000,24000,0,0,2, ,1,5,2, ,1, , ,2,1,2,1200, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,2,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14885,9.73873873873874,10.4987593052109,52.4937965260545,3,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,5,5,0,0,0,8,13,9,168,168,0,24000,24000,0,0,2, ,2, ,2, ,1, , ,1,1,2,3000, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2, ,0,0,1,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14890,9.73873873873874,10.4987593052109,10.4987593052109,3,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0,1,0,0,1,0,0,1,0,11,12,9,168,168,0,24000,24000,0,0,2, ,1,2,2, ,2,1, ,2,1,2,2200, , , , ,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2, ,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1, , , , , , ,2,0,0,1,0,0,0,0,0,0,0
BC14891,9.73873873873874,10.4987593052109,31.4962779156327,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,3,0,3,0,0,14,17,9,168,168,0,24000,24000,0,0,1,3,1,4,1,3,1, , ,1,1,2,1600, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2, ,1,1,0,2,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1, , , , , , ,2,0,1,0,0,0,1,0,0,0,0
BC14897,9.73873873873874,10.4987593052109,31.4962779156327,3,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,1,0,1,0,0,0,0,0,3,2,1,0,0,13,16,9,212,168,44,30450,24000,6450,0,2, ,1,2,1,4,1, , ,1,1,2,1500, , , , ,0,0,0,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,4,3,2,1,1,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , , ,2,1,0,0,0,0,0,0,0,1,0
BC14898,9.73873873873874,10.4987593052109,41.9950372208436,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,0,4,0,0,12,16,10,271,160,111,40990,24000,15990,1000,1,7,1,7,1,4,3, ,1,2,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,2,0,0,0,1,1,1,0,0,0,1,2,2,3,2,2,1,2,1,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1, , , , , , ,2,0,0,1,0,0,1,0,0,1,0
BC14901,9.73873873873874,10.4987593052109,41.9950372208436,3,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,2,2,0,0,11,15,9,210,168,42,29628,24000,5628,0,1,6,1,5,2, ,1, , ,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,3,2,2,1,1,1,0,0,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14908,9.73873873873874,10.4987593052109,20.9975186104218,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,2,0,2,0,0,15,17,9,188,168,20,26874,24000,2874,0,2, ,1,3,2, ,1, , ,2,1,1, , , , , ,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2, ,0,0,1,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14911,9.73873873873874,10.4987593052109,41.9950372208436,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,4,4,0,0,0,14,18,9,168,168,0,24000,24000,0,0,2, ,1,2,2, ,1, , ,2,1,2,2100, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2, ,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14913,9.73873873873874,10.4987593052109,62.9925558312654,3,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,6,0,0,6,0,10,16,9,195,168,27,29000,24000,5000,0,2, ,2, ,2, ,1, , ,2,1,1, , , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,0,0,0,0,3,2,2,3,3,3,2, ,1,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14916,9.73873873873874,10.4987593052109,20.9975186104218,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,1,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,2,2,0,0,0,16,18,9,168,168,0,25300,24000,0,1300,1,3,1,6,1,2,2,1, ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2, ,1,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1, , , , , , ,2,0,0,1,0,0,1,0,0,0,0
BC14923,9.73873873873874,10.4987593052109,52.4937965260545,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,5,0,0,5,0,13,18,9,168,168,0,24000,24000,0,0,1,3,1,5,1,3,1, , ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1, , , , , , ,2,1,1,0,0,0,0,0,0,0,0
BC14928,9.73873873873874,10.4987593052109,41.9950372208436,3,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,4,4,0,0,0,16,20,9,168,168,0,24000,24000,0,0,2, ,2, ,2, ,1, , ,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,1,2,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14930,9.73873873873874,10.4987593052109,31.4962779156327,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,1,1,0,0,0,0,1,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,3,0,0,3,0,18,21,9,214,168,46,30000,24000,6000,0,2, ,1,7,2, ,2,1, ,1,2, , ,2,2000, , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , , ,2,0,0,1,0,1,0,0,0,0,0
BC14931,9.73873873873874,10.4987593052109,41.9950372208436,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,1,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,4,3,1,0,0,24,28,9,183,168,15,26100,24000,2100,0,2, ,1,5,2, ,1, , ,1,1,2,1500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,2, ,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1, , , , , , ,2,1,0,1,0,0,0,0,0,0,0
BC14934,9.73873873873874,10.4987593052109,52.4937965260545,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,5,0,3,2,0,20,25,9,168,168,0,26800,26800,0,0,2, ,1,6,2, ,2,1, ,1,1,2,2800, , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,0,0,2,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14935,9.73873873873874,10.4987593052109,52.4937965260545,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,5,5,0,0,0,20,25,9,168,168,0,24000,24000,0,0,2, ,1,6,2, ,2,2, ,1,2, , ,2,1000, , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,2, ,1,0,0,2,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14937,9.73873873873874,10.4987593052109,31.4962779156327,3,1,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0,0,0,0,3,3,0,0,0,18,21,9,203,168,35,29000,24000,5000,0,1,2,1,2,1,3,2,1, ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1, , , , , , ,2,1,0,0,0,0,0,0,0,0,0
BC14938,9.73873873873874,10.4987593052109,52.4937965260545,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,5,3,0,2,0,19,24,9,203,168,35,29030,24000,5030,0,2, ,1,2,2, ,2,1, ,1,1,2,2100, , , , ,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1, , , , , , ,2,1,0,1,0,0,0,0,0,1,0
BC14939,9.73873873873874,10.4987593052109,41.9950372208436,3,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,1,1,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,4,0,4,0,0,20,24,9,198,168,30,29300,24000,4000,1300,1,6,1,6,2, ,1, , ,1,1,2,1000, , , , ,0,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2, ,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14942,9.73873873873874,10.4987593052109,73.4913151364763,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,7,0,7,0,0,22,29,9,188,168,20,26660,24000,2660,0,1,4,1,4,2, ,2,1, ,1,1,2,2100, , , , ,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,2,1,2,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14945,9.73873873873874,10.4987593052109,62.9925558312654,3,1,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1, ,1,0,0,0,0,1,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,6,0,6,0,0,20,26,9,168,168,0,24000,24000,0,0,1,3,1,3,2, ,3, ,1,1,1,2,2500, , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,2,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14947,9.73873873873874,10.4987593052109,31.4962779156327,3,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1, ,1,1,0,1,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,3,3,0,0,0,24,27,9,189,168,21,28837,25820,3017,0,2, ,1,7,2, ,2,1, ,1,1,2,2200, , , , ,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,2,3,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1, , , , , , ,2,1,0,1,0,0,0,0,0,0,0
BC14948,9.73873873873874,10.4987593052109,52.4937965260545,3,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,5,5,0,0,0,24,29,9,174,168,6,26200,24000,900,1300,1,2,1,3,1,2,1, , ,2,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,1,2,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC14949,9.73873873873874,10.4987593052109,94.4888337468981,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,1,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,9,0,4.5,4.5,0,20,29,9,212,168,44,31300,24000,6000,1300,1,6,1,6,1,3,1, , ,1,1,2,2000, , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2, ,1,0,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC20468,9.91836734693878,11.7970049916805,94.376039933444,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,8,8,0,0,0,22,30,9,168,168,0,24000,24000,0,0,2, ,1,3,2, ,1, , ,1,1,2,1500, , , , ,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2, ,0,0,1,2,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1, , , , , , ,2,0,0,0,0,0,0,0,0,1,0
BC20469,9.91836734693878,11.7970049916805,94.376039933444,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0,1,0,0,8,8,0,0,0,22,30,9,186,168,18,26605,24000,2605,0,1,3,1,2,1,1,1, , ,1,1,2,1500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
BC20472,9.91836734693878,11.7970049916805,70.782029950083,3,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,6,0,6,0,0,25,31,9,168,168,0,27600,27000,0,600,1,3,1,3,1,2,2,2, ,1,1,1, , , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2, ,0,0,1,2,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1, , , , , , ,2,0,0,0,0,0,1,0,0,0,0
BC20476,9.91836734693878,11.7970049916805,82.5790349417635,3,2,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,1,0,0,1,0,0,7,0,0,7,0,26,33,9,216,168,48,34100,24000,8100,2000,2, ,1,7,2, ,3, ,2,2,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,3,1,1,0,1,0,2,0,0,0,0,1,0,1,1,0,2,2,2,2,2,2,2, ,0,0,1,2,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1, , , , , , ,2,0,0,1,0,0,1,0,0,0,0
BC20478,9.91836734693878,11.7970049916805,70.782029950083,3,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,6,6,0,0,0,29,35,9,200,168,32,30372,24000,5072,1300,2, ,1,4,2, ,1, , ,1,1,2,1000, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2, ,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , , ,2,0,0,0,0,1,0,0,0,0,0
BC20481,9.91836734693878,11.7970049916805,35.3910149750415,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,1,0,0,1,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,3,3,0,0,0,33,36,9,172.6,168,4.6,25925,24000,625,1300,2, ,1,7,1,3,3, ,1,1,2, , ,2,1000, , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,2,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,1,1,0,0,1,2,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1, , , , , , ,2,0,0,0,0,0,0,0,0,1,0
BC20485,9.91836734693878,11.7970049916805,153.361064891847,3,2,2,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,13,13,0,0,0,27,40,9,168,168,0,24000,24000,0,0,1,1,1,3,2, ,1, , ,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,4,2,3,1,2,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1, , , , , , ,1,0,0,0,0,0,0,0,0,0,0
