no,w,t1,t2,t19,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q1a_10,q1a_11,q1a_12,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9_0_1,q9_1_1,q9_2_1,q9_3_1,q10,q10a,q11,n12,q13,q13a_1_1,q13a_1_2,q13a,n14,n14a_1_1,n14a_2_1,n14b_1_1,n14b_1_2,q15,q15a_1_1,q15a_1_2,q15b,q15c_1,q15c_2,q15c_3,q15c_4,q151,q151a,q16,q16a,q17,q17a,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18b,q19,q19a,q19b_1,q19b_3,q19b_4,q20a,q20b,q20c,q20d,q20e,q20f,q20g,q21a_1,q21a_2,q21b_1,q21b_2,q21c_1,q21c_2,q21d_1,q21d_2,q21e_1,q21e_2,q21f_1,q21f_2,q21g_1,q21g_2,q21h_1,q21h_2,q22,q22a,q22b_1,q22b_2,q22b_3,q22b_4,q22b_5,q22b_6,q22b_7,q22b_8,q22c,q22d,q23,q23a,q24_1,q24_2,q24_3,q25,q25a_1,q25a_2,q25a_3,q25a_4,q25a_5,q25a_6,q25a_7,q25a_8,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7
B0210839,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,3,2,1,0,1,0,0,3,2,3,1,1,1,21835,17000,2835,2000,1, ,2,1,1,2,0,2,2,7,21,1,40,3, , ,1,1,0,0,0,1, ,1,1,2, ,1,1,1,1,0,1,1, ,0,0,0,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0
B0210840,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,1,0,0,0,0,0,3,2,3,2,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,7,21,1,40,3, , ,1,1,0,1,0,2,1,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,3,3,2,3,3,3,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,2,1,1,0,1,1,1,1,0,2,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
B0210842,69.3613543649443,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,3,2,2,1,1,2,20790,18900,1890,0,1, ,1,1,1,2,0,2,2,6.5,20.5,4,0,2,1,10,1,0,0,0,0,2,1,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,3,3,2,2,2,3,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
B0210843,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,3,2,2,2,1,1,19268,17000,2268,0,2,1,1,1,1,9,0,9,2,7,21,5,0,2,1,10,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0
B0210844,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1,1,0,0,0,3,2,3,1,1,1,19268,17000,2268,0,1, ,1,1,1,3,0,3,2,7,21,1,40,2,1,11,1,0,0,0,0,1, ,2, ,3, ,1,1,0,0,1,1,1, ,0,0,0,2,2,2,2,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
B0210845,68.3667037116043,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,1,0,0,0,0,0,3,2,3,1,1,2,20833,17000,2833,1000,1, ,1,1,2, , ,0,1,6.5,22,1,40,3, , ,1,1,0,0,0,1, ,1,1,1,3,1,1,1,0,0,1,1, ,0,0,0,3,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
B0210846,71.0260392910599,2,3,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,1,0,0,0,0,0,3,2,4,1,1,2,21899,19000,1899,1000,1, ,1,1,1,1,0,1,2,8.5,21.5,2.5,0,2,1,10,1,0,0,0,0,2,1,2, ,2, ,1,1,1,0,0,2,2,1,1,0,0,3,2,2,2,1,2,2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,2,0,1,0,1,0,1,0,0,3,3,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
B0210847,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,4,2,1,1,1,0,0,3,2,3,2,1,1,19835,17000,2835,0,1, ,1,2,2, , ,0,2,7,24,2,0,2,1,11,1,0,0,0,0,1, ,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
B0210849,76.522537345116,2,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,3,1,0,0,0,0,0,3,2,1,2,1,1,19835,17000,2835,0,1, ,1,1,1,2,0,2,1,6,22,2,0,2,1,11,1,0,0,0,0,2,1,2, ,1,2,1,1,1,0,0,2,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,0,1,1,1,0,2,1,1,2,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
B0210854,76.522537345116,2,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,2,0,0,1,0,0,3,2,1,1,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,7,21,3,0,2,1,11,1,0,0,0,0,1, ,1,1,1,3,1,1,1,0,0,2,1, ,0,0,0,3,2,2,3,2,2,2,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
B0210855,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3,2,1,1,1,1,0,3,2,3,2,1,1,19768,17000,2268,500,1, ,1,1,1,4,0,4,2,7,21,1,40,2,1,11,1,0,0,0,0,1, ,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0210858,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,4,1,0,0,0,0,0,3,2,3,2,1,1,20268,17000,2268,1000,1, ,1,1,1,2,0,2,1,8,18,2,0,2,2,10,1,0,0,0,0,1, ,1,1,1,2,1,1,1,0,0,2,1, ,0,0,0,2,2,3,2,3,3,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
B0210862,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,5,1,0,0,0,0,0,3,2,3,2,1,1,20201,17000,1701,1500,1, ,1,1,2, , ,0,2,7.5,20,2,0,2,1,10,1,0,0,0,0,2,1,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
B0210863,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,2,1,0,0,0,0,3,2,3,1,1,1,19268,17000,2268,0,1, ,1,1,1,1,0,1,2,7,22.5,0,30,2,1,10,1,0,0,0,0,2,1,1,1,3, ,1,1,1,0,0,2,1, ,0,0,0,1,2,2,2,2,2,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
B0210864,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,6,2,1,1,1,1,0,3,2,3,1,1,1,20435,17000,2835,600,1, ,1,1,1,2,0,2,2,6.5,21,4,30,2,1,10,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
B0210865,71.0260392910599,2,3,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,3,2,4,1,1,2,21986,18958,2528,500,2,1,1,1,1,8,0,8,2,7,21,6,0,3, , ,1,1,1,0,0,1, ,2, ,2, ,1,1,1,1,0,2,1, ,0,0,0,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,2,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
B0210867,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,20899,19000,1899,0,1, ,1,1,1,3,0,3,2,8,22,3,0,2,1,11,1,0,0,0,0,2,1,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,4,4,2, ,1,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
B0210870,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,3,2,2,2,1,1,18701,17000,1701,0,1, ,2,1,2, , ,0,1,7,21,3,30,2,1,10,1,0,0,0,0,1, ,1,1,1,2,1,1,1,0,0,2,1, ,0,0,0,2,2,2,3,2,2,2,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,2,1,1,0,1,0,1,0,0,1,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
B0210871,68.3667037116043,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,2,1,0,0,0,0,3,2,3,2,1,2,24000,22000,2000,0,1, ,1,1,1,1,0,1,2,6.5,21.5,4,0,2,3,10,1,0,0,0,0,1, ,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
B0210872,68.3667037116043,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,0,0,0,0,3,2,3,3,1,2,19268,17000,2268,0,1, ,1,1,2, , ,0,2,6,20,1,40,2,1,10,1,0,0,0,0,1, ,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,3,4,3,4,3,3,3,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,2,0,0,0,1,1,0,0,0,2,1,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
B0210877,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,3,1,2,1,0,0,0,0,3,2,3,2,1,1,19768,17000,2268,500,1, ,1,1,1,4.5,0,4.5,2,9,13,1,30,3, , ,1,1,1,1,0,2,1,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,2,3,2,2,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,2,1,1,1,1,1,0,1,0,2,1,1,1,1,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
B0210879,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,5,2,1,1,0,0,0,3,2,3,2,1,1,19835,17000,2835,0,1, ,1,1,2, , ,0,2,7,21,2,0,3, , ,1,1,0,1,0,2,1,1,1,2, ,1,1,0,1,0,1,1, ,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
B0210881,76.522537345116,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,1,0,0,0,3,2,1,1,1,2,21835,17000,2835,2000,1, ,1,1,1,5,0,5,2,8,21,4,0,3, , ,1,1,0,0,0,1, ,2, ,2, ,1,1,1,0,0,2,1, ,0,0,0,2,2,2,2,1,2,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
B0210882,69.3613543649443,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,2,1,1,1,0,0,3,2,2,1,1,2,19268,17000,2268,0,1, ,1,1,1,2,0,2,1,7,20,2,0,3, , ,1,1,0,0,0,1, ,2, ,3, ,1,1,1,0,0,1,1, ,0,0,0,3,3,3,3,2,3,2,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0
B0210883,69.3613543649443,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,2,0,0,1,1,0,3,2,2,1,1,2,19768,17000,2268,500,1, ,1,1,1,2,20,2.333333333,2,7,21,1,30,3, , ,1,1,1,0,0,1, ,2, ,2, ,1,1,0,1,0,1,1, ,0,0,0,3,2,2,3,1,2,2,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,0,2,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
B0210885,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,3,2,2,2,1,1,19268,17000,2268,0,1, ,1,1,1,1,0,1,2,6,22,3,0,3, , ,1,0,0,1,0,2,1,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
B0210886,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,6,1,0,0,0,0,0,3,2,3,1,1,1,19768,17000,2268,500,1, ,1,1,1,0,30,.5,2,7,21,2,0,3, , ,1,1,0,1,0,2,1,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0210887,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,1,2,1,0,0,0,0,3,2,2,2,1,1,17500,17500,0,0,1, ,1,1,1,3,0,3,2,6,21.5,3,30,1,4,3, ,0,0,0,0,1, ,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,3,2,2,3,2,2,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0210890,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,4,1,0,0,0,0,0,3,2,2,1,1,1,21201,18933,2268,0,1, ,1,1,2, , ,0,1,7,23,4,0,2,1,10,1,0,0,0,0,2,1,1,1,3, ,1,1,0,0,0,2,1, ,0,0,0,2,2,2,2,2,2,2,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
B0210891,69.3613543649443,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,1,2,1,0,0,0,0,3,2,2,2,1,2,19201,17000,1701,500,1, ,1,1,2, , ,0,2,8.5,20,3,30,2,1,10,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,1,2,1,1,0,0,3,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
B0210892,68.3667037116043,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,1,0,3,2,3,1,1,2,19835,17000,2835,0,1, ,2,1,2, , ,0,2,5.5,21,2,0,3, , ,1,1,0,1,0,2,1,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,3,2,2,3,2,2,2,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,2,0,1,1,1,0,1,1,0,2,2,2, ,1,0,0,2,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0
B0210893,68.3667037116043,2,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,2,3,3,1,2,19249,17500,1749,0,1, ,2,1,2, , ,0,2,7,22,3,0,2,1,10,1,0,0,0,0,2,1,2, ,1,2,1,1,0,0,0,1,1, ,0,0,0,2,3,2,3,2,2,2,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
B0210894,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,19835,17000,2835,0,1, ,1,1,1,2,0,2,2,8,20,4,0,2,1,10,1,0,0,0,0,2,1,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,4,0,0,1,0,1,1,0,0,2,1,2, ,1,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
B0210895,68.3667037116043,2,3,2,1,2,3,2,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,3,2,3,3,1,2,19835,17000,2835,0,3,1,1,1,1,5,0,5,2,6,20,2,0,2,1,10,1,0,0,0,0,1, ,2, ,3, ,1,1,0,1,0,1,1, ,0,0,0,4,3,4,3,3,3,3,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
B0210896,69.3613543649443,2,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,1,0,3,2,2,2,1,2,20836,18943,1893,0,1, ,1,1,1,3,0,3,1,9,20,3,0,2,1,10,1,0,0,0,0,1, ,1,1,1,2,1,1,0,1,0,1,1, ,0,0,0,4,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,1,1,0,1,1,0,0,3,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
B0210897,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,4,1,0,0,0,0,0,3,2,2,2,1,1,25301,23000,2301,0,1, ,1,1,1,2.5,0,2.5,1,7,21,3,0,2,1,10,1,0,0,0,0,1, ,1,5,1,2,1,1,1,1,0,2,1, ,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,1,1,2,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
B0210898,69.3613543649443,2,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,2,2,1,1,18701,17000,1701,0,1, ,1,1,1,6,0,6,2,8,18.5,3,0,2,1,10,1,0,0,0,0,1, ,1,1,3, ,1,1,1,1,0,1,1, ,0,0,0,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,0,3,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
B0210899,76.522537345116,2,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,2,1,2,1,2,19835,17000,2835,0,1, ,1,1,1,2,0,2,2,8,20,2,30,2,1,11,1,0,0,0,0,2,1,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,3,2,2,3,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0
B0210902,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,19268,17000,2268,0,2,1,1,1,1,1,0,1,2,8,22,1,30,2,1,10,1,0,0,0,0,1, ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
B0210903,68.3667037116043,2,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,1,1,1,20000,17000,2268,732,1, ,1,1,1,2,0,2,2,7,20,4,30,3, , ,1,1,0,0,0,1, ,1,1,2, ,1,1,0,0,0,1,2,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
B0210904,69.3613543649443,2,3,1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,4,2,1,0,1,1,0,3,2,2,2,1,1,20500,17000,0,3500,1, ,1,1,1,8,0,8,1,8,21,2,30,1,4,10, ,0,0,0,0,1, ,2, ,2, ,1,1,0,1,0,1,2,1,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0210908,68.3667037116043,2,3,1,1,2,3,2,0,1,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,6,2,1,1,1,1,0,3,2,3,2,1,1,28332,25000,3332,0,1, ,1,1,2, , ,0,2,9.5,23,3,0,3, , ,1,1,0,0,0,1, ,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,2,3,2,3,2,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
