no,w,county,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q2a_11,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a2,q12b,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q14,q14a_1,q14a_2,q14b_1,q14b_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17b_1,q17b_2,q17b_3,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25b,q25ba,q25baa,q25baao,q25bb
106993,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,1,2,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,8,7,3,0,1,1,2, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,1,3,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
107211,51.11442568,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,1,2,4,1,1,1,1, ,3,20000,17000,3000,0,3, ,1,1,0,0,0,1, ,1,1,58,2,7,8,2,40,1,1,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1, , , , , 
107975,54.71297952,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,1,2,4,1,1,2,1, ,1,20500,19500,0,1000,1,11, ,0,0,0,0,1, ,2, , ,2,7,8,2,40,1,1,3, ,1,1,0,0,1,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,1,1,1,0,1,1,0,0,0,0,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1, , , , , 
108257,48.86365762,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,4,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,0,1,1,0,2,1,1,0,20,2,7,8,1,0,1,1,1,2,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,3,1,1,0,0,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
108274,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,1,0,0,0,0,1,2,2,2,1,2,2,1,1,20000,17000,2500,500,2,14,1,0,0,0,0,2,1,1,10,30,1,7,9,4,30,2, ,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,5,4,3,3,2,4,3,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
108400,42.40562537,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,2,2,2,2,1, ,2,23360,21092,2268,0,2,9,1,0,0,0,0,1, ,2, , ,2,7,9,2,50,2, ,2, ,1,1,1,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,1, , , 
108594,53.70428152,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,23000,20000,3000,0,2,10,1,0,0,0,0,2,1,2, , ,2,8,8,5,0,1,1,2, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,2,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
108622,50.48651349,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,2,4,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,7,8,2,40,1,2,2, ,1,1,1,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
108823,56.43613253,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,3,1,1,20000,17000,3000,0,2,12,1,0,0,0,0,2,1,2, , ,2,6,7,2,0,1,1,1,2,1,1,0,1,1,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,1,2,2,2,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
108854,53.83029914,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,0,1,2,2,1,1,1,1, ,2,23835,20500,2835,500,2,12,1,0,0,0,0,1, ,1,12,0,1,8,8,2,50,1,2,3, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
109036,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,21835,17000,2835,2000,3, ,1,1,0,0,0,1, ,2, , ,2,7,8,5,0,1,1,2, ,1,1,1,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,0,1,0,1,1,0,0,0,1,1,2, ,0,0,1,2,1,1,0,1,0,0,0,0,1,1,0,1,0,1, , , , , 
109145,53.04284481,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,2,2,1,1,1,1, ,2,19000,17000,2000,0,3, ,1,0,0,1,0,2,1,1,2,30,2,8,8.5,2,30,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,3,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1, , , , , 
109146,5.474618877,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,2,4,1,1, ,1,19268,17000,2268,0,2,24,1,0,0,0,0,2,1,1,2,0,1,8,8,2,0,1,1,2, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
109159,52.91867064,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,3,1,1,1,1, ,1,22898,20130,2268,500,3, ,1,1,0,0,0,1, ,2, , ,2,6,9,2,30,1,1,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2, , , ,4
109380,52.58108011,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,2,1,0,0,0,0,1,2,4,1,1,1,1, ,1,18500,17000,1500,0,3, ,1,1,0,0,0,1, ,1,0,30,2,6,9,2,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1, , , , , 
109636,50.8106561,10,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,2,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,20300,17000,3000,300,3, ,1,1,0,0,0,1, ,2, , ,2,9,7,4,30,2, ,2, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,3,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
109656,53.63457767,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,1,0,0,0,0,1,2,2,1,1,1,1, ,2,21500,17000,3000,1500,3, ,1,1,0,0,0,1, ,1,1,30,1,7.5,7,2,50,2, ,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,4,4,4,4,3,3,4,1,3,0,1,1,1,0,0,0,0,1,2,1,2,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,2,2, , , ,2
109732,52.04017657,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,0,1,0,0,0,1,2,2,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,7,7,4,30,1,1,2, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,2,2,1,3,0,0,0,1,1,0,0,0,4,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
109774,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,1,2,1, ,1,19268,17000,2268,0,2,12,1,0,0,0,0,2,1,2, , ,2,7,9,3,0,1,1,3, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,4,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1, , , , , 
109860,3.818106796,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,2,2,1,4, ,1,19000,19000,0,0,1,9, ,0,0,0,0,1, ,1,1,30,2,5,8,1,30,2, ,2, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
109998,3.372893798,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,0,0,0,0,0,1,1,2,1,2,1,1, ,1,19268,17000,2268,0,1,10, ,0,0,0,0,1, ,1,2,0,2,7,6,2,0,1,1,3, ,1,1,1,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,0,0,1,0,1,0,0,0,1,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1, , , 
110569,53.04284481,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,1,1,1, ,2,20000,17000,3000,0,3, ,1,0,0,0,1,1, ,1,2,8,2,7,8,3,10,1,1,3, ,1,1,1,1,1,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,3,0,1,0,1,0,1,0,0,4,3,1,1,1,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,1, , , , , 
110676,52.30951408,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,2,2,1,1,1, ,1,20000,17000,2268,732,2,12,1,0,0,0,0,2,1,1,1,0,2,7,8,1.5,0,1,2,1,1,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
110916,52.30951408,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,1,0,0,0,0,1,2,2,2,1,1,2,1,2,20400,18000,2400,0,2,11,1,0,0,0,0,1, ,1,2,30,2,8,11.5,7,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
110928,52.1642261,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,23006,19738,2268,1000,2,13,1,0,0,0,0,1, ,1,3,0,1,7,8,4,0,1,1,2, ,1,1,0,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,4,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
111135,6.166666666,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,1,2,1,0,0,0,0,1,2,4,1,3,1,4, ,1,27000,25000,0,2000,1,6, ,0,0,0,0,1, ,1,4,0,2,7,7,0,30,2, ,2, ,1,1,0,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,3,2,1,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
111500,55.06425765,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,19500,17000,2268,232,3, ,1,1,0,1,0,2,1,1,1,0,2,7,10,1.5,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1, , , , , 
111559,42.45729774,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,0,0,1,0,1,2,2,2,1,2,1, ,2,20268,17000,2268,1000,3, ,1,1,0,1,0,2,1,2, , ,1,8,9,3,10,1,1,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,2,1,1,1,0,1,1,0,0,0,0,2,4,2, ,1,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1, , , , , 
111595,53.63457767,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,1,2,2,2,1,2,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,7,9,4,30,1,2,1,2,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
111669,52.30951408,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,0,0,0,0,1,2,2,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,6,7.5,4,30,1,1,3, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,1,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
111697,78.32151606,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,1,0,0,0,0,0,1,2,3,2,4,1,1, ,1,19522,17000,2522,0,3, ,1,1,0,0,0,1, ,2, , ,2,8,8,2,40,1,1,3, ,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,1,3,1,0,1,1,0,0,0,0,1,2,2, ,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
111874,55.06425765,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,3,1,1,2,1, ,1,18701,17000,1701,0,2,7,1,0,0,0,0,1, ,1,0,14,2,7,7,4,30,2, ,2, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,3,4,4,2,3,4,1,1,1,0,1,1,0,0,0,0,2,2,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2, , , ,1
111946,6.946802745,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,0,0,0,0,0,1,1,3,1,4,1,1, ,1,21335,17000,2835,1500,1,11, ,0,0,0,0,1, ,1,8,30,2,6,8,4,0,1,1,3, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,0,0,0,1,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
112120,53.04284481,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,1,2,1,0,0,0,0,1,2,2,2,1,1,1, ,3,20000,17000,3000,0,3, ,1,1,0,0,0,1, ,2, , ,2,6,6.5,4,30,1,2,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,1,1,1,0,1,1,0,0,0,0,2,2,2, ,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1, , , , , 
112266,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,5,1,2,1,0,1,0,0,1,2,2,2,1,2,1, ,1,19268,17000,2268,0,3, ,1,0,1,1,0,2,1,2, , ,2,6,12,2,40,1,2,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
112287,49.17738088,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,3,2,1,0,0,0,0,1,2,3,1,1,1,1, ,1,24268,21500,2268,500,3, ,1,1,0,0,0,1, ,1,3,0,1,6,6,1,0,2, ,3, ,1,1,1,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,0,1, , , , , 
112656,50.48651349,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,4,2,1,1,2,1,2,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,1,1,0,2,7,8,2,0,1,1,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
112764,51.02196324,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,2,1,1,0,0,0,1,2,2,1,1,2,1, ,1,19835,17000,2835,0,2,12,1,0,0,0,0,1, ,1,2,10,2,6,8,3,15,1,1,2, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,1,3,0,0,0,0,0,1,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
112819,4.675781389,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,1,2,3,2,1,1, ,1,18896,17000,0,1896,2,13,2,0,0,0,0,1, ,2, , ,2,7,8,3,30,1,1,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2, , , ,4
112923,28.24306456,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,20000,17000,3000,0,3, ,1,0,0,1,0,2,1,2, , ,2,6,8,2,40,2, ,2, ,1,1,1,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1, , , , , 
112995,53.83029914,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,1,4,0,2,7,8,4,0,2, ,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,0,0,1,2,1,1,0,0,1,0,1,0,0,1,0,1,0,2,2, , , ,4
113067,64.10490147,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,3,2,1,0,0,0,0,1,2,4,1,1,1,1, ,1,20000,17000,2500,500,3, ,1,1,1,0,0,1, ,2, , ,2,7,10,6,0,1,1,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,2,2,3,2,3,2,1,3,0,0,1,1,1,0,0,0,2,4,2, ,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1, , , , , 
113316,1.597757346,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,1,1,0,0,0,0,0,1,2,3,1,3,1,2,1,1,27200,24000,3200,0,2,12,1,0,0,0,0,2,1,1,4,0,2,7,7,3,0,2, ,1,1,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,0,1,1,0,0,0,0,2,4,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
113377,55.06425765,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,4, ,1,20130,20130,0,0,1,13, ,0,0,0,0,1, ,1,1,44,2,8.5,10,3,30,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
113378,63.73279885,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,1,0,0,0,0,0,1,2,3,2,4,1,1, ,2,21000,21000,0,0,1,18, ,0,0,0,0,1, ,2, , ,2,8,5,2,30,1,4,3, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2,1,3,0,0,0,1,0,1,0,0,1,4,2, ,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1, , , 
113524,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,0,1,2,2,1,1,1,1, ,1,21000,17000,3000,1000,3, ,1,1,0,0,0,1, ,1,1,0,2,7,9,2.5,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
113540,53.04284481,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,2,1,0,0,0,0,1,2,2,2,1,1,2,1,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,7,8,3,0,1,1,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2, , , ,4
113671,56.34735332,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,3,3,2,1,1, ,1,17000,17000,0,0,1,3, ,0,0,0,0,1, ,1,0,24,2,7,8,2,50,1,1,1,3,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
