no,w1,w2,w3,industry,scale,q1,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q3,aq3,aq3a,q3b,q3c_1,q3c_2,q3c_3,q3c_4,q3c_5,q3c_6,q3c_7,q3c_8,q3e_1,q3e_2,q3e_3,q3e_4,q3e_5,q3e_6,q3e_7,q3e_8,q4,q4a_1,q4a_2,q4a_3,q4a_4,q4a_5,q4a_6,q4a_7,q4a_8,q4a_9,q4b,q4bb_1,q4bb_2,q4bb_3,q4bb_4,q4bb_5,q4bb_6,q4bb_7,q4bb_8,q4bb_9,q4bb_10,q5,q5b_1,q5b_2,q5b_3,q5b_4,q5b_5,q5b_6,q5b_7,q5b_8,q5b_9,q5b_10,q5b_11,nq6b,nq6c_1,nq6c_2,nq6c_3,nq6c_4,q7a,q7b,q7bb,q7ca,q7cb,nq7d,nq7db,nq7dc,q8,q8a2,q8a3,q9,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q14,q14a,q14b_1,q14b_2,q14b_3,q14b_4,q14b_5,q15a_1,q15a_2,q15a_3,q15a_4,q15a_5,q15a_6,q16,q16a,q17,q17a_1,q17a_2,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18a_5,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_9
64275,10.5769230769231,12.4166666666667,49.6666666666668,4,1,1,1,0,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,0,29470,0,10000,1000,0,1, , ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
64291,9.80952380952381,10.1841831425598,91.6576482830382,14,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,11,152,44,27470,6732,0,2000,0,2,1, ,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,2,1,1,1,1,0,4,4,4,3,4,4,2, ,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64313,9.84782608695652,10.3161290322581,10.3161290322581,13,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,152,18,27470,2754,0,2000,0,1, , ,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,3,3,3,3,3,3,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
64334,9.72222222222222,11.5,172.5,13,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,15,0,15,0,0,11,152,32,27470,5416,0,5000,0,1, , ,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,2,1,1,0,0,0,3,3,3,2,3,3,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64403,9.90163934426229,10.5542857142857,10.5542857142857,25,1,1,1,0,1,0,0,0,0,0,1,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,152,6,27470,918,0,26400,0,1, , ,1,0,0,0,0,1,0,0,0,0,0,1,0, ,1,1,0,0,0,0,2, ,0,0,0,0,0,5,5,5,5,5,5,1,1,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
64416,8.96551724137931,8.92489795918367,98.1738775510204,1,2,1,1,0,1,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,11,152,10,27825,1530,0,11000,0,2,1, ,1,0,0,1,0,0,0,0,0,0,0,1,0, ,1,1,0,0,0,0,1,2,1,1,1,0,0,4,4,4,4,4,4,1,1,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64424,9.40344827586207,9.19021739130435,27.570652173913,14,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,152,0,27470,0,0,0,0,2,1, ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,4,3,3,3,3,3,2, ,3,0,0, ,0,0,0,0,0,1,1,0,0,0,1,1,0,0
64454,8.96551724137931,8.92489795918367,26.774693877551,1,2,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,152,42,27470,7235,960,33470,0,2,1, ,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,4,4,4,4,4,4,2, ,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0
64754,10.2540983606557,10.5416293643688,105.416293643688,21,2,2,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,10,0,9,1,0,11,152,20,31346,3060,0,17454,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,1,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
64835,10.020618556701,10.3803786574871,20.7607573149742,1,1,1,1,1,0,1,1,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,11,152,36,27470,5560,0,0,0,2,1, ,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2, ,0,0,0,0,0,5,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
65089,9.90163934426229,10.5542857142857,21.1085714285714,25,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,11,152,82,32470,12464,60000,30000,0,1, , ,2,1,0,1,0,0,0,0,0,0,0,1,0, ,1,0,0,0,0,0,2, ,0,0,0,0,0,5,5,5,5,5,5,2, ,1,1,1,2,1,1,0,0,0,1,1,1,1,1,0,1,0,0
65114,8.79393939393939,8.79549950544016,8.79549950544016,17,2,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,152,0,27470,0,0,0,0,2,1, ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,5,5,5,5,5,5,1,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1
65230,8.11428571428571,7.19619047619048,79.1580952380953,26,2,1,1,1,0,0,0,0,1,0,0,0,0,2, , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,11,0,0,11,0,11,152,40,33470,7300,8000,3000,0,2,1, ,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,1,1,1,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0,0
65268,9.8909626719057,9.74668275030157,19.4933655006031,17,1,2,1,1,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,11,152,30,27470,4818,0,4000,0,1, , ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2, ,0,0,0,0,0,4,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,0,1,1,1,0,1,1,0,0
65315,9.4,9.05021520803443,298.657101865136,16,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,11,152,42,27913,7640,0,9007,0,2,1, ,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,4,4,1,2,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0
65351,10.625,9.76969696969697,68.3878787878788,24,1,2,1,1,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,11,152,0,27470,0,0,0,0,2,1, ,1,0,1,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,1,3,1,1,1,1,0,5,4,4,4,4,4,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
65448,8.96551724137931,8.92489795918367,107.098775510204,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,11,152,0,27470,0,0,4000,0,2,1, ,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,2,1,1,0,2,1,0,0,0,0,1,1,1,1,1,1,1,0,0
65498,10.5925925925926,11.2229299363057,33.6687898089171,7,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,152,0,27470,0,0,3000,0,1, , ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,4,4,4,4,4,4,2, ,3,0,0, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65562,10.125,9.67441860465116,164.46511627907,11,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,17,0,17,0,0,11,152,46,27470,7800,0,0,0,2,1, ,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,1,1,1,0,2,1,0,0,0,0,1,1,1,1,1,0,0,0,0
65705,8.79393939393939,8.79549950544016,114.341493570722,17,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,11,152,0,27470,0,0,0,0,2,1, ,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,3,1,0,0,0,0,5,5,5,5,5,5,1,1,1,0,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65793,9.75423728813559,9.51905487804878,38.0762195121951,21,1,3,1,0,0,0,0,0,1,1,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,4,0,3,1,0,11,152,38,28000,6900,12000,16500,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,1,1,1,1,0,5,5,5,5,5,5,1,1,2,0,0, ,0,0,0,0,0,0,1,1,1,1,0,0,0,0
65833,7,7.15873015873016,765.984126984127,3,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107,5,100,2,0,11,152,22,27470,3902,0,0,0,2,1, ,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,3,3,3,4,4,1,1,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
65838,9.75423728813559,9.51905487804878,9.51905487804878,21,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,152,0,27470,0,0,0,0,1, , ,1,0,1,0,0,0,0,0,0,0,0,1,0, ,0,1,0,0,0,0,1,3,1,1,1,1,0,5,5,5,5,5,5,1,1,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65843,7,7.87234042553191,110.212765957447,5,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,13,1,0,11,152,66.5,27909,11511,0,5000,0,2,1, ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,3,1,1,0,0,0,4,4,4,4,4,4,1,2,3,0,0, ,0,0,0,0,0,0,1,1,0,0,0,0,0,0
65886,9.75423728813559,9.51905487804878,19.0381097560976,21,1,4,1,0,0,0,0,0,1,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,11,152,14,27470,2450, , , ,2,1, ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,1,1,0,5,5,5,4,5,4,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
65896,9.8909626719057,9.74668275030157,9.74668275030157,17,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,160,32,27470,5504,0,4000,0,1, , ,1,0,1,0,0,0,0,0,0,0,0,1,0, ,1,1,0,0,0,0,2, ,0,0,0,0,0,5,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,0,1,1,0,0,0,0,0,0
65921,11.038961038961,13.0452261306533,39.1356783919599,22,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,152,26,27470,3958,0,0,0,2,1, ,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,0,1,0,4,4,4,4,4,4,1,2,1,1,0,2,1,1,0,0,0,1,1,0,0,1,0,1,0,0
65937,9.40344827586207,9.19021739130435,18.3804347826087,14,1,1,1,0,0,0,0,1,0,1,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,11,152,0,27470,0,0,3000,0,1, , ,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,2, ,0,0,0,0,0,4,3,4,4,4,4,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
66048,10.020618556701,10.3803786574871,31.1411359724613,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,3,0,3,0,0,11,152,15,29520,2295,0,1800,0,2,1, ,1,0,0,0,0,1,0,0,0,0,0,1,0, ,1,0,0,0,0,0,1,3,1,1,0,1,0,4,4,4,4,4,4,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
66052,10.020618556701,10.3803786574871,31.1411359724613,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,152,0,27470,0,0,0,0,1, , ,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1
66072,9.4622641509434,9.71787709497207,68.0251396648045,3,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,11,152,0,27470,0,0,0,0,1, , ,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
66127,10.5806451612903,9.47680412371134,170.582474226804,22,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,18,0,18,0,0,11,152,4,27470,650,6420,3000,0,2,1, ,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,5,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,1,1,0,0,1,0,0,0,0
66138,8.05,9.92003439380911,327.361134995701,17,4,1,1,1,0,0,0,1,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,33,0,33,0,0,11,152,0,27470,0,2000,2000,0,2,1, ,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,3,3,2,4,3,1,1,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66153,10.44,12.2387387387387,48.9549549549548,23,2,1,1,0,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11,152,54,27470,8962,0,0,0,2,1, ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66157,9.8909626719057,9.74668275030157,38.9867310012063,17,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,0,27470,0,0,0,0,1, , ,1,0,0,0,0,1,0,0,0,0,0,1,0, ,1,0,0,0,0,0,1,1,1,1,0,1,0,4,3,4,3,4,4,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
66179,10.2540983606557,10.5416293643688,63.2497761862128,21,2,2,1,1,0,1,1,1,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,6,0,11,152,29,27589,5330,15885,56657,0,2,1, ,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,1,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66198,4.14285714285714,4.78947368421053,4.78947368421053,12,2,1,1,0,0,0,0,0,1,1,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,152,0,31235,0,0,1200,0,3, ,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,3,3,3,3,3,1,1,1,1,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0
66242,9.8909626719057,9.74668275030157,38.9867310012063,17,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11,152,5,27470,770,0,0,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,1,1,0,4,3,3,3,3,3,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
66273,10.2540983606557,10.5416293643688,147.582811101163,21,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,11,152,0,27470,0,0,0,0,2,1, ,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,3,3,3,4,3,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66304,9.4622641509434,9.71787709497207,48.5893854748604,3,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,11,152,10,27470,1530,0,0,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,4,4,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66323,9.81111111111111,10.5035714285714,21.0071428571428,15,1,1,1,0,1,0,0,0,0,0,0,1,0,2,2, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,11,152,0,27470,0,0,10000,0,1, , ,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,3,4,3,4,4,3,1,2,2,0,0, ,0,0,0,0,0,0,1,1,1,1,0,0,0,0
66423,10,9.82663316582915,147.399497487437,15,2,4,1,1,0,0,0,0,0,1,1,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,15,0,15,0,0,11,152,19,27470,2907,5000,7000,0,1, , ,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,4,4,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
66432,9.40344827586207,9.19021739130435,36.7608695652174,14,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,30,28970,5000,0,3000,0,1, , ,2,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,2, ,0,0,0,0,0,5,5,5,5,5,5,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66488,9.40476190476191,9.88557213930348,19.771144278607,16,1,1,1,1,0,0,0,0,1,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,11,152,0,27480,0,0,0,0,1, , ,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,4,4,4,3,4,4,1,1,1,1,0,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0
