no,w,j1,j2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q2,q3,q4,q4a_1,q4a_2,q4a_3,q4a_4,q5,q5a_1,q5a_2,q5a_3,q5a_4,q5a_5,q5a_6,q5a_7,q5a_8,q5a_9,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q6a_6,q6a_7,q6a_8,q6a_9,q6a_10,q6a_11,q7,q8a,q8b,q8c,q8d,q8e,nq9a_1,nq9a_2,nq9b_1,nq9b_2,nq10a,nq10ab,q10b,nq10bb,q11,q11a2,q11a3,q12,q13a,q13ab,nq13b,q14,q15,nq15a,nq15b,q16,q16a,q17,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19,q19a,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q20_7,q21,q21a,q21b_1,q21b_2,q21b_3,q21b_4,q21b_5,q21b_6,q21b_7,q21b_8,q21c,q21d,q22,q22a,q23,q23a_1,q23a_2,q24,q24a_1,q24a_2,q24a_3,q24a_4,q24a_5,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8
65793,.8,3,1,1,1,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,1,6,8,4,0,24000,3335,2,4669,1, , ,1,3,1,24,1,1,2,30,1,1,3,1, , , , , , , , , ,1,2,1,2,2,2,1,2,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
65873,51.9903846153846,4,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,6,9,3,30,22000,3335,2,2000,1, , ,2,2,1,16,1,1,0,32,2, ,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
66157,44.1714285714286,3,1,1,1,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,8,11,4,30,20700,2704,2,5000,1, , ,1,2,1,12,1,1,1,54,2, ,3,1, , , , , , , , , ,1,2,1,1,2,1,1,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0
66178,52.084388185654,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,9,11,3,30,21500,2668,2,3000,1, , ,1,2,1,6,1,1,1,0,1,1,2,1, , , , , , , , , ,2, ,3,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
66665,52.3703703703704,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,0,1,2,2,1,1,2,6,7.5,4,30,20000,3335,2,5000,1, , ,1,2,1,12,1,1,1,24,1,4,3,1, , , , , , , , , ,1,2,2,3,3,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,1,1,0,0,0,0,0,0
66720,53.032,3,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,1,2,3,1,1,1,7,10,4,0,20000,2668,2,4000,1, , ,1,2,1,24,1,1,1,0,1,1,3,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1
66993,49.375,5,1,1,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,1,2,7,8,3,0,20000,3335,2,45000,1, , ,1,5,1, ,2,2, , ,2, ,1,1, , , , , , , , , ,1,2,2,2,2,3,2,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,0,0,0,0,0,0
67108,2,11,1,1,1,1,1,0,0,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,3,1,7,6,3,30,26400,4400,2,30000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1
67803,50.5714285714286,11,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,6,9,3,0,20000,3335,2,2000,1, , ,1,5,1, ,1,2, , ,1,1,3,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
68011,38.7894736842105,14,1,1,1,1,0,0,0,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,6,9,3,0,23000,2668,2,2000,1, , ,1,2,1,24,1,1,0,48,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,1,4,1,2,3,0,0, ,0,0,0,0,0,1,1,1,0,0,0,0,0
68078,52.084388185654,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,9,9,3,0,20000,2668,2,0,2,1, ,1,5,1, ,1,2, , ,2, ,2,1, , , , , , , , , ,2, ,3,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,0,0,0
68310,49.375,5,1,1,1,1,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,7,8,3,0,20000,3335,2,3000,1, , ,1,5,1, ,1,2, , ,1,1,1,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
68428,1.5,7,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,8,8,2,0,25000,0,2,20000,1, , ,1,1, ,24,1,1,4,0,2, ,2,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,2,4,2, ,2,0,0, ,0,0,0,0,0,1,0,1,0,0,0,0,0
68608,52.3703703703704,1,1,1,1,1,0,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,8,10,3,0,20000,2668,2,10700,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,3,3,2,3,3,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
68695,51.9903846153846,4,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,7,8,3,0,30665,3335,2,2000,1, , ,1,1, ,8,1,1,2,0,1,1,2,1, , , , , , , , , ,1,2,2,1,1,1,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0
69069,4.33333333333333,4,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,3,1,7,6,2,0,26400,0,2,2000,1, , ,1,1, ,12,1,1,2,0,1,2,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
69566,50.5268817204301,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0,1,2,3,1,2,1,7,7,4,0,20000,2668,1, ,1, , ,2,3,1,12,1,1,0,48,1,1,3,2,1,1, , , , , , , ,1,2,2,2,2,2,2,2,2,1,3,0,1,0,0,0,1,0,0,2,2,2, ,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
69796,4.33333333333333,4,1,1,1,0,0,1,0,2,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,1,7,7,3,30,27470,0,2,0,4, , ,1,1, ,6,2,1,3,30,2, ,1,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,1,3,1,0,0,0,1,0,1,0,2,1,2, ,3,0,0, ,0,0,0,0,0,0,0,0,1,0,0,0,0
71184,51.4490566037736,6,1,1,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,7,7,2,0,20000,3335,2,5000,1, , ,1,5,1, ,1,2, , ,1,1,1,1, , , , , , , , , ,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,4,1,2,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
71734,50.5268817204301,2,1,1,1,1,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,7,9,3,0,20000,2668,2,2000,1, , ,2,2,1,10,2,1,3,0,1,2,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,1,3,1,0,1,0,0,1,0,0,1,1,2, ,3,0,0, ,0,0,0,0,0,1,1,0,0,0,0,0,0
71950,51.1052631578947,9,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,7,11,4,0,22000,2668,2,6000,1, , ,1,2,1,12,1,1,1,30,1,2,1,1, , , , , , , , , ,1,2,3,3,3,3,3,3,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
71959,52.084388185654,2,1,1,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,7,8,4,0,21000,2668,2,3000,1, , ,1,2,1,15,1,1,0,30,1,2,3,1, , , , , , , , , ,2, ,2,1,1,1,1,2,1,1,3,1,1,0,1,0,0,0,0,4,4,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
72126,50.5268817204301,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,2,3,1,2,2,9,9,4,0,22000,0,2,2000,1, , ,3,1, ,24,2,1,2,0,1,1,3,1, , , , , , , , , ,2, ,3,3,3,3,4,3,3,1,1,0,0,0,0,0,1,0,0,2,4,1,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
72156,54.3766233766234,13,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,6,7,3,30,20000,3335,2,2000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
72310,52.3703703703704,1,1,1,1,1,1,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,7,8,3,0,20000,3335,2,10000,1, , ,1,5,1, ,1,2, , ,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
72449,3.11111111111111,13,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,6,7,3,30,23000,0,2,2000,1, , ,2,1, ,10,1,1,1,20,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
72803,52.3703703703704,1,1,1,1,0,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,8,10,3,0,22000,2001,2,6000,1, , ,2,2,1,13,1,1,1,30,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
73085,4.625,21,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,2,7,7,3,0,20000,2668,2,2000,1, , ,1,2,1,12,1,1,1,42,1,1,2,1, , , , , , , , , ,2, ,2,3,3,3,3,3,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
73622,50.8478260869565,16,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,7,7,4,0,20000,3335,2,2500,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,0,0,1,1,0,0,0,0,2,4,1,2,1,1,0,2,1,0,1,0,0,1,1,1,0,0,0,0,0
73850,48.3818181818182,10,1,1,1,1,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,7,9,4,30,20000,2000,2,12000,1, , ,1,2,1,8,1,1,4,30,2, ,2,1, , , , , , , , , ,1,2,2,2,2,2,1,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1
74678,1.2,14,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,1,8,9,4,0,36000,0,2,36000,1, , ,1,1, ,12,1,1,1,40,1,1,2,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
75054,9.33333333333333,2,1,1,1,1,1,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,3,2,6,9,3,30,26400,4400,2,10000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
75382,52.3703703703704,1,1,1,1,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,2,3,1,1,1,6,8,3,0,20000,3335,2,600,1, , ,1,2,1,12,1,1,1,42,1,4,1,1, , , , , , , , , ,2, ,3,4,3,3,3,2,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
75544,44.1714285714286,3,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,2,3,2,2,1,6,9,2,0,20392,3335,2,0,1, , ,1,2,1,24,1,1,0,48,1,1,2,1, , , , , , , , , ,1,2,3,3,3,3,4,3,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
75777,50.5268817204301,2,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,9,9,4,0,20000,2668,2,5000,1, , ,1,2,1,12,1,1,4,0,1,1,3,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
75854,51.9903846153846,4,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,6.5,8,1,30,20000,0,2,3000,1, , ,1,1, ,12,1,1,1,43,1,1,2,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
76076,50.6818181818182,12,1,1,1,1,1,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,6,6,3,30,20000,3335,2,7000,1, , ,2,2,1,24,1,1,3,0,1,1,1,1, , , , , , , , , ,1,2,3,2,3,3,2,3,3,1,1,0,1,1,0,0,1,0,0,4,2,2, ,2,0,0, ,0,0,0,0,0,0,1,1,1,1,0,0,0
76831,52.084388185654,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,6,11,2,30,20000,2668,2,600,1, , ,2,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,3,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
77248,51.4490566037736,6,1,1,1,1,1,1,0,1,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,2,3,1,1,1,7.5,7.5,2,30,22000,3335,2,6000,1, , ,1,2,1,8,1,1,0,30,1,1,2,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1
77480,2,19,1,1,1,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,3,1,9,8,3,30,26400,4400,2,26000,1, , ,1,5,1, ,1,1,0,30,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
77685,9.33333333333333,2,1,1,0,0,0,0,0,1,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,3,2,8,9,2,0,25250,3367,2,0,2,1, ,3,2,1,24,1,1,0,48,1,3,2,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
77790,2,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2,8,8,2,0,20000,0,2,0,1, , ,1,1, ,12,1,1,3,0,1,1,2,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,2,0,0, ,0,0,0,0,0,1,0,0,0,0,0,0,0
78449,52.084388185654,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,2,4,1,1,2,8,8,2,0,20000,3335,2,4800,1, , ,1,5,1, ,1,2, , ,1,1,3,1, , , , , , , , , ,2, ,2,2,3,2,2,4,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,1,1,0,1,0,0,0
78857,45.4805194805195,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,1,8,8,3,0,23332,2668,2,13000,1, , ,1,2,1,24,1,1,0,48,1,1,2,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,2,2,1,2,1,1,0,2,0,0,1,0,0,1,1,1,1,1,1,0,0
79200,51.5909090909091,6,1,1,1,1,0,1,0,1,5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,8,8,2,30,20000,3335,2,20000,1, , ,1,2,1,12,1,1,2,30,1,1,3,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
79715,48.3818181818182,10,1,1,0,1,0,0,0,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,8,8,3,0,21332,2668,2,6600,1, , ,2,2,1,8,1,1,2,0,1,1,3,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,0,0,1,1,1,0,0,0,1,1,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
79806,48.3818181818182,10,1,1,0,1,1,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,3,3,1,1,8,9,2,0,21332,2668,2,6000,1, , ,1,2,1,24,1,1,0,48,1,1,1,1, , , , , , , , , ,1,2,2,2,3,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
79993,52.084388185654,2,1,1,1,1,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,6.5,6.5,2,0,20000,2668,2,2000,1, , ,1,5,1, ,1,2, , ,1,3,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,3,1,1,1,0,0,0,0,0,1,1,1,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
80238,51.5909090909091,6,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,8,8,1,30,18165,2835,2,2000,1, , ,1,3,1,12,1,1,0,48,1,1,3,1, , , , , , , , , ,1,2,2,2,3,2,2,2,2,1,1,0,1,0,0,0,0,0,0,1,4,2, ,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
80637,4.5,2,1,1,1,1,0,0,0,2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,4,1,9.5,9.5,2,0,20000,0,2,5500,1, , ,1,1, ,12,1,1,1,43,1,1,2,1, , , , , , , , , ,2, ,2,2,1,2,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
80710,51.9903846153846,4,1,1,1,1,0,0,0,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,9,8,2,30,25000,1334,2,4000,1, , ,3,3,1,12,2,2, , ,1,2,1,1, , , , , , , , , ,2, ,3,3,3,3,3,2,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,0,0,0,0,0,0,0
81145,52.3703703703704,1,1,0,1,1,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,7.5,8.5,3,0,24166,1334,2,0,2,1, ,1,3,1,24,1,1,3,0,1,1,3,1, , , , , , , , , ,1,2,3,3,3,2,3,3,3,1,1,0,1,0,1,1,0,0,0,3,1,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
81412,52.8125,2,1,1,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,4,1,6.5,9,3,0,20000,3335,2,3000,3, ,1,1,5,1, ,2,2, , ,2, ,3,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,0,2,1,0,0,0,0,1,1,1,1,1,1,0,0
81445,53.032,3,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,6,8,3,0,20000,1443,2,1000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
81835,49.25,1,1,1,0,0,1,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,4,2,8,8,2,0,23000,2000,2,0,1, , ,2,3,1,24,1,1,1,30,1,1,1,1, , , , , , , , , ,2, ,2,2,2,3,2,2,2,1,1,0,1,1,0,1,0,0,0,2,2,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,0,0,0
82105,50.5714285714286,11,1,1,1,1,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,6.5,7.5,1,30,17000,2268,2,2000,1, , ,1,2,1,12,1,1,0,30,1,1,2,1, , , , , , , , , ,2, ,2,2,2,2,1,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
82863,51.4490566037736,6,1,1,1,1,1,0,0,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,6,8,3,30,21800,2668,2,3600,1, , ,1,2,1,24,1,1,0,48,1,1,3,1, , , , , , , , , ,2, ,1,1,2,2,2,3,2,1,1,0,1,1,0,0,1,0,0,2,4,2, ,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1
